レース数,的中数,的中率,平均買い目数,投資額,払戻額,回収率,条件
176,36,20.45,6.0,105600,109770,103.95,展示バフ2個以上
5146,1182,22.97,9.69,4984200,4355610,87.39,展示バフなし
1629,300,18.42,6.0,977400,829410,84.86,展示バフあり
