レース数,的中数,的中率,平均買い目数,投資額,払戻額,回収率,条件
61,9,14.75,8.72,53200,47380,89.06,1STゼロ
3340,962,28.8,9.11,3043000,2679180,88.04,1STプラス
2259,313,13.86,8.34,1883200,1645340,87.37,1ST大幅マイナス
3374,511,15.15,8.49,2865400,2458460,85.8,1STマイナス
2125,640,30.12,8.98,1907800,1483130,77.74,1ST大幅プラス
