レース数,的中数,的中率,平均買い目数,投資額,払戻額,回収率,条件
872,123,14.11,6.0,523200,492700,94.17,買い×まくり補正10以上
921,212,23.02,15.13,1393600,1290450,92.6,注意×1STマイナス
574,147,25.61,15.11,867600,770010,88.75,注意×まくり補正10以上
1629,300,18.42,6.0,977400,829410,84.86,買い×展示バフあり
1629,300,18.42,6.0,977400,829410,84.86,買い×展示デバフあり
2453,299,12.19,6.0,1471800,1168010,79.36,買い×1STマイナス
