レース数,的中数,的中率,平均買い目数,投資額,払戻額,回収率,条件
1473,265,17.99,8.92,1314000,1229700,93.58,4号艇×展示バフなし
473,40,8.46,6.0,283800,257970,90.9,5号艇×展示バフあり
797,64,8.03,6.0,478200,427880,89.48,5号艇×展示バフなし
513,100,19.49,15.1,774400,658260,85.0,3号艇×展示バフなし
2363,753,31.87,10.23,2417600,2039770,84.37,1号艇×展示バフなし
598,179,29.93,6.0,358800,298830,83.29,1号艇×展示バフあり
558,81,14.52,6.0,334800,272610,81.42,4号艇×展示バフあり
