レース数,的中数,的中率,平均買い目数,投資額,払戻額,回収率,条件
334,60,17.96,9.93,331600,326580,98.49,まくり補正30以上
744,141,18.95,9.9,736200,695840,94.52,まくり補正20以上
1446,270,18.67,9.62,1390800,1262710,90.79,まくり補正10以上
353,72,20.4,8.76,309200,280330,90.66,まくり補正ゼロ
2092,369,17.64,9.46,1979000,1739740,87.91,まくり補正プラス
4330,1041,24.04,8.48,3673400,3164950,86.16,まくり補正マイナス
