レース数,的中数,的中率,平均買い目数,投資額,払戻額,回収率,条件
4,1,25.0,6.0,2400,4970,207.08,展示デバフ数=3
172,35,20.35,6.0,103200,104800,101.55,展示デバフ数=2
5146,1182,22.97,9.69,4984200,4355610,87.39,展示デバフ数=0
1453,264,18.17,6.0,871800,719640,82.55,展示デバフ数=1
